rank,gid,role,priority_score,why,cluster_id,role_score,rule_id
1,100000003115284100,coordinator,1.0,"вход 2.2 млн KZT от 8 плательщиков (seed: 2); выход 517 тыс. KZT на 2 получателей; осело 1.6 млн KZT; 7 плательщиков в один день; сквозной транзит за 0 дн. (99% исходящих). Поднят по: объём потока (верхние 2%), число плательщиков (верхние 1%), позиция в сети (верхние 4%)",9,1.0,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
2,100000004015047100,coordinator,0.9861,"вход 919 тыс. KZT от 9 плательщиков (seed: 3); выход 69 тыс. KZT на 1 получателя; осело 850 тыс. KZT; сквозной транзит за 1 дн. (64% исходящих); дробление: 3 перевода от одного плательщика за день. Поднят по: объём потока (верхние 7%), число плательщиков (верхние 1%), позиция в сети (верхние 7%)",7,0.8,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
3,100000004299488100,coordinator,0.9675,"вход 1.7 млн KZT от 6 плательщиков (seed: 1); выход 345 тыс. KZT на 2 получателей; осело 1.4 млн KZT; 3 плательщика в один день; сквозной транзит за 0 дн. (94% исходящих); дробление: 3 перевода от одного плательщика за день. Поднят по: объём потока (верхние 3%), число плательщиков (верхние 1%), пози",1,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
4,100000006889963100,coordinator,0.9656,"вход 1.4 млн KZT от 4 плательщиков (seed: 2); выход 443 тыс. KZT на 1 получателя; осело 988 тыс. KZT; 4 плательщика в один день; сквозной транзит за 0 дн. (100% исходящих). Поднят по: объём потока (верхние 4%), число плательщиков (верхние 3%), роль в структуре (coordinator)",6,1.0,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
5,100000007055802100,coordinator,0.9636,"вход 2 млн KZT от 6 плательщиков (seed: 1); выход 605 тыс. KZT на 1 получателя; осело 1.4 млн KZT; 4 плательщика в один день; сквозной транзит за 0 дн. (100% исходящих); дробление: 8 переводов от одного плательщика за день. Поднят по: объём потока (верхние 2%), число плательщиков (верхние 1%), позиц",1,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
6,100000008686313100,coordinator,0.9629,"вход 1.9 млн KZT от 6 плательщиков (seed: 1); выход 334 тыс. KZT на 7 получателей; осело 1.6 млн KZT; сквозной транзит за 1 дн. (100% исходящих). Поднят по: объём потока (верхние 3%), число плательщиков (верхние 1%), позиция в сети (верхние 13%)",1,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
7,100000003701161100,consolidator,0.9313,"вход 1.5 млн KZT от 4 плательщиков (seed: 1); выход 349 тыс. KZT на 3 получателей; осело 1.2 млн KZT; сквозной транзит за 1 дн. (100% исходящих). Поднят по: объём потока (верхние 4%), число плательщиков (верхние 3%), позиция в сети (верхние 3%)",22,0.5,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
8,100000002894076100,coordinator,0.9102,"вход 1.1 млн KZT от 4 плательщиков (seed: 2); осело 1.1 млн KZT; 3 плательщика в один день. Поднят по: объём потока (верхние 5%), число плательщиков (верхние 3%), роль в структуре (coordinator)",7,0.8,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
9,100000007908818100,coordinator,0.9059,"вход 727 тыс. KZT от 4 плательщиков (seed: 2); выход 302 тыс. KZT на 6 получателей; осело 425 тыс. KZT. Поднят по: объём потока (верхние 8%), число плательщиков (верхние 3%), роль в структуре (coordinator)",2,1.0,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
10,100000001330685100,coordinator,0.8896,"вход 2.4 млн KZT от 3 плательщиков (seed: 1); выход 100 тыс. KZT на 1 получателя; осело 2.3 млн KZT. Поднят по: объём потока (верхние 2%), число плательщиков (верхние 6%), роль в структуре (coordinator)",6,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
11,100000004071080100,consolidator,0.8878,"вход 239 тыс. KZT от 9 плательщиков (seed: 1); выход 46 тыс. KZT на 2 получателей; осело 192 тыс. KZT; сквозной транзит за 0 дн. (87% исходящих); дробление: 3 перевода от одного плательщика за день. Поднят по: объём потока (верхние 24%), число плательщиков (верхние 1%), позиция в сети (верхние 8%)",1,1.0,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
12,100000003404627100,consolidator,0.8833,"вход 878 тыс. KZT от 4 плательщиков (seed: 1); осело 878 тыс. KZT; 3 плательщика в один день. Поднят по: объём потока (верхние 7%), число плательщиков (верхние 3%), поведение во времени (верхние 1%)",40,0.6,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
13,100000008165763100,coordinator,0.8812,"вход 1.2 млн KZT от 15 плательщиков (seed: 1); выход 1.3 млн KZT на 17 получателей; 102 тыс. KZT пришло вне выборки; 4 плательщика в один день; сквозной транзит за 0 дн. (68% исходящих); дробление: 4 перевода от одного плательщика за день. Поднят по: объём потока (верхние 5%), число плательщиков (ве",2,0.8,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
