gid,role,role_score,cluster_id,priority_score,evidence,rule_id,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,hub,authority,pass_through,retained_kzt,unseen_inflow_kzt,n_seed_payers,truncated_by_depth,terminal_status,terminal_p,hold_days_median,fast_out_share,max_same_day_payers,max_same_day_one_payer_tx,flag_fast_transit,flag_sync_collection,flag_structuring,timing_score,downstream_nodes,component_size,is_articulation
100000000343175100,distributor,1.0,9,0.4292,"веер на 31 получателя, 33 перевода на 4 млн KZT; seed — входящие извне выборки не видны | сквозной транзит за 0 дн. (100% суммы); дробление: 14 поступлений по 13 тыс. в среднем",R1.distributor: out_deg >= 11,0,True,8,31,178712.0,4000039.0,14,33,0.0007132581979384031,0.0010946926090299827,0.0065893978,0.0002893307,22.382598818210305,0.0,3821327.0,1,False,observed_forwarder,0.0,0.0,1.0,2,2,True,False,True,1.0,73,1877,True
100000000456947100,peripheral,0.3,-1,0.0216,"0 входящих и 0 исходящих переводов в выгрузке: seed без рёбер, переводы либо ниже порога 5 000 KZT, либо вне банка — роль не определяется",R0.peripheral: нет рёбер в выгрузке,0,True,0,0,0.0,0.0,0,0,0.0002855692942172902,0.0,-0.0,-0.0,,0.0,0.0,0,False,no_edges,,,,0,0,False,False,False,0.0,0,1,False
100000000580561100,transit,0.55,44,0.2967,"seed: отдаёт 1.5 млн KZT на 3 получателей; входящие извне выборки не видны, роль по исходящему профилю","R3c.transit: seed — роль по исходящему профилю, входящие извне не видны",0,True,2,3,27980.0,1488077.0,3,13,0.0008349888856684632,1.1888811083225246e-06,0.0,0.0,53.183595425303785,0.0,1460097.0,0,False,observed_forwarder,0.0,4.0,0.5712070007130008,1,1,False,False,False,0.0,5,6,True
100000001415126100,terminal,0.65,18,0.1558,"получил 27 тыс. KZT, 1 перевод от 1 плательщика; исходящих переводов 0, они проверены обходом на колене 0; сумма ниже медианы графа 50 тыс. KZT — мелкий получатель","R4a.terminal: исходящих переводов нет, они проверены обходом (depth <= 3)",0,True,1,0,27000.0,0.0,1,0,0.0004096189054308039,0.0,-0.0,2.887e-07,0.0,27000.0,0.0,0,False,observed_sink,1.0,,,1,1,False,False,False,0.0,0,1877,False
100000001429930100,terminal,0.65,10,0.1501,"получил 26 тыс. KZT, 1 перевод от 1 плательщика; исходящих переводов 0, они проверены обходом на колене 0; сумма ниже медианы графа 50 тыс. KZT — мелкий получатель","R4a.terminal: исходящих переводов нет, они проверены обходом (depth <= 3)",0,True,1,0,26000.0,0.0,1,0,0.000350797891474077,0.0,-0.0,4.26e-08,0.0,26000.0,0.0,0,False,observed_sink,1.0,,,1,1,False,False,False,0.0,0,1877,False
100000001616816100,transit,0.55,7,0.3203,"seed: отдаёт 181 тыс. KZT на 3 получателей; входящие извне выборки не видны, роль по исходящему профилю | сквозной транзит за 0 дн. (69% суммы); дробление: 12 поступлений по 15 тыс. в среднем","R3c.transit: seed — роль по исходящему профилю, входящие извне не видны",0,True,5,3,176195.0,181326.0,12,10,0.0024346571906844494,0.00010470096527690845,2.18704e-05,4.749e-07,1.0291211441868384,0.0,5131.0,0,False,observed_forwarder,0.0,0.5,0.6939214453525694,1,2,True,False,True,0.6939214453525694,6,1877,True
100000001732159100,transit,0.55,40,0.4443,"seed: отдаёт 1.5 млн KZT на 4 получателей; входящие извне выборки не видны, роль по исходящему профилю | сквозной транзит за 1 дн. (91% суммы); дробление: 6 переводов от одного плательщика за день","R3c.transit: seed — роль по исходящему профилю, входящие извне не видны",0,True,2,4,2378100.0,1505966.0,30,23,0.001095056787299681,2.027094433598164e-05,5.34019e-05,7.699e-07,0.633264370716118,872134.0,0.0,2,False,observed_forwarder,0.0,1.0,0.9144735007297642,2,6,True,False,True,1.0,5,1877,False
100000002527114100,distributor,1.0,0,0.3314,"веер на 111 получателей, 113 переводов на 3.3 млн KZT; seed — входящие извне выборки не видны",R1.distributor: out_deg >= 11,0,True,3,111,129000.0,3289249.0,4,113,0.0008111056953132608,0.00019339132695379732,0.0,0.0,25.49805426356589,0.0,3160249.0,0,False,observed_forwarder,0.0,4.0,0.4463742331456208,1,1,False,False,False,0.0,269,270,True
100000002916006100,transit,0.55,18,0.0884,"seed: отдаёт 32 тыс. KZT на 1 получателя; входящие извне выборки не видны, роль по исходящему профилю","R3c.transit: seed — роль по исходящему профилю, входящие извне не видны",0,True,0,1,0.0,32000.0,0,1,0.0002855692942172902,0.0,0.0,-0.0,,0.0,32000.0,0,False,observed_forwarder,0.0,,,0,0,False,False,False,0.0,1,1877,False
100000003016635100,distributor,1.0,3,0.3932,"веер на 73 получателей, 151 перевод на 9.4 млн KZT; seed — входящие извне выборки не видны | 3 плательщика в один день; сквозной транзит за 0 дн. (94% суммы)",R1.distributor: out_deg >= 11,0,True,8,73,586981.0,9414081.0,36,151,0.001189636334387764,0.007215469082446287,0.015842595,1.24908e-05,16.038135817002594,0.0,8827100.0,0,False,observed_forwarder,0.0,0.0,0.9350810769527053,3,3,True,True,True,1.0,1595,1877,True
