cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_truncated,kzt_out_of_cluster,kzt_into_cluster,max_depth,center_x,center_y,radius,panel,angle_start,angle_end,r_inner,r_outer
-1,19,19,0.0,100000000456947100 100000003265658100 100000003349739100 100000003770083100 100000004021459100,"19 seed-клиентов без единого перевода в выгрузке: либо переводы ниже порога 5 000 KZT, либо вне банка — нужен запрос по внешним каналам",0,0,0,0,0,0,0.0,0.0,0,0.70469,0.52155,0.03773,16,,,,
0,270,1,10178044.0,100000001697501100 100000001166289100 100000002578405100 100000002733905100 100000005342513100,"одна точка входа со стороны известного следствию клиента; веерных рассылок: 3; транзитных счетов: 8; узлов, где деньги остались: 253. внутренний оборот 10.2 млн KZT, наружу уходит 0 KZT; 4 узлов обрезаны 4-м коленом — картина неполна",0,0,3,8,253,4,0.0,0.0,4,0.78264,0.68143,0.12105,1,0.0,5.90619,0.01513,0.11948
1,253,1,27271963.39,100000004299488100 100000007055802100 100000008686313100 100000004071080100 100000002398779100,"одна точка входа со стороны известного следствию клиента; кандидатов над точками сбора: 9; точек консолидации: 8; веерных рассылок: 8; транзитных счетов: 37; узлов, где деньги остались: 120. внутренний оборот 27.3 млн KZT, наружу уходит 6.6 млн KZT; 56 узлов обрезаны 4-м коленом — картина неполна",9,8,8,37,120,56,6563001.54,5253524.55,4,0.53976,0.57529,0.15279,0,0.0,0.73775,0.03989,0.31503
2,152,3,19885490.0,100000007908818100 100000008165763100 100000001072022100 100000008748914100 100000008111003100,"сбор средств от 3 известных следствию клиентов; кандидатов над точками сбора: 3; точек консолидации: 3; веерных рассылок: 6; транзитных счетов: 22; узлов, где деньги остались: 105. внутренний оборот 19.9 млн KZT, наружу уходит 4.8 млн KZT; 6 узлов обрезаны 4-м коленом — картина неполна",3,3,6,22,105,6,4839007.0,4080836.74,4,0.38219,0.65839,0.14237,0,1.11863,1.56186,0.03989,0.31503
3,131,7,18913780.28,100000004394765100 100000008144528100 100000000706545100 100000004330371100 100000006518161100,"сбор средств от 7 известных следствию клиентов; точек консолидации: 1; веерных рассылок: 3; транзитных счетов: 28; узлов, где деньги остались: 83. внутренний оборот 18.9 млн KZT, наружу уходит 946 тыс. KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,1,3,28,83,6,946297.0,1214827.0,4,0.20683,0.43216,0.1492,0,3.40412,3.78612,0.03989,0.31503
4,128,0,27235142.0,100000002718366100 100000002547110100 100000002369874100 100000008547948100 100000002793881100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 6; веерных рассылок: 7; транзитных счетов: 14; узлов, где деньги остались: 68. внутренний оборот 27.2 млн KZT, наружу уходит 3.3 млн KZT; 53 узлов обрезаны 4-м коленом — картина неполна",0,6,7,14,68,53,3284795.0,1938227.0,4,0.18128,0.6874,0.13713,0,2.102,2.47525,0.09662,0.31503
5,126,0,14788037.85,100000007629096100 100000008603629100 100000002741024100 100000001857829100 100000004679953100,"нижних звеньев дела в кластере нет — участок ниже по потоку; кандидатов над точками сбора: 4; точек консолидации: 1; веерных рассылок: 3; транзитных счетов: 18; узлов, где деньги остались: 49. внутренний оборот 14.8 млн KZT, наружу уходит 5.3 млн KZT; 50 узлов обрезаны 4-м коленом — картина неполна",4,1,3,18,49,50,5284991.8,2977670.0,4,0.30086,0.74062,0.15719,0,1.56859,1.93601,0.09662,0.31503
6,126,0,24907250.33,100000006889963100 100000001330685100 100000008560717100 100000003035737100 100000006734214100,"нижних звеньев дела в кластере нет — участок ниже по потоку; кандидатов над точками сбора: 5; точек консолидации: 5; веерных рассылок: 3; транзитных счетов: 11; узлов, где деньги остались: 64. внутренний оборот 24.9 млн KZT, наружу уходит 5.6 млн KZT; 35 узлов обрезаны 4-м коленом — картина неполна",5,5,3,11,64,35,5625010.0,4011966.75,4,0.48918,0.69261,0.13043,0,0.74448,1.11189,0.09662,0.31503
7,106,4,16242879.02,100000004015047100 100000002894076100 100000005514161100 100000001411870100 100000005778283100,"сбор средств от 4 известных следствию клиентов; кандидатов над точками сбора: 3; точек консолидации: 2; веерных рассылок: 2; транзитных счетов: 20; узлов, где деньги остались: 67. внутренний оборот 16.2 млн KZT, наружу уходит 1.1 млн KZT; 2 узлов обрезаны 4-м коленом — картина неполна",3,2,2,20,67,2,1071317.4,1923621.8,4,0.18488,0.5585,0.13874,0,2.63743,2.94652,0.03989,0.31503
8,91,1,9080395.26,100000002838861100 100000005473151100 100000003071930100 100000006443391100 100000006972210100,"одна точка входа со стороны известного следствию клиента; точек консолидации: 1; веерных рассылок: 4; транзитных счетов: 9; узлов, где деньги остались: 70. внутренний оборот 9.1 млн KZT, наружу уходит 1.2 млн KZT; 27 узлов обрезаны 4-м коленом — картина неполна",0,1,4,9,70,27,1172856.0,974273.0,4,0.12813,0.51216,0.16121,0,2.95326,3.21861,0.03989,0.31503
9,59,1,6772097.0,100000003115284100 100000006707582100 100000002941114100 100000008730846100 100000001463701100,"одна точка входа со стороны известного следствию клиента; кандидатов над точками сбора: 1; точек консолидации: 2; веерных рассылок: 2; транзитных счетов: 9; узлов, где деньги остались: 34. внутренний оборот 6.8 млн KZT, наружу уходит 719 тыс. KZT; 7 узлов обрезаны 4-м коленом — картина неполна",1,2,2,9,34,7,719155.0,2191959.0,4,0.17542,0.47241,0.15202,0,3.22534,3.39739,0.03989,0.31503
10,52,5,4171441.0,100000008346837100 100000008733194100 100000005074393100 100000001236706100 100000005882013100,"сбор средств от 5 известных следствию клиентов; веерных рассылок: 1; транзитных счетов: 16; узлов, где деньги остались: 19. внутренний оборот 4.2 млн KZT, наружу уходит 355 тыс. KZT; 13 узлов обрезаны 4-м коленом — картина неполна",0,0,1,16,19,13,354797.0,813305.0,4,0.27249,0.30415,0.17753,0,4.2814,4.43304,0.03989,0.31503
11,51,1,2950313.0,100000001899164100 100000004692798100 100000003265158100 100000004662806100 100000004386258100,"одна точка входа со стороны известного следствию клиента; точек консолидации: 1; веерных рассылок: 1; транзитных счетов: 11; узлов, где деньги остались: 27. внутренний оборот 3 млн KZT, наружу уходит 122 тыс. KZT; 8 узлов обрезаны 4-м коленом — картина неполна",0,1,1,11,27,8,121771.0,270343.4,4,0.31745,0.32917,0.15058,0,4.47893,4.62765,0.03989,0.31503
